"Statistic Label","Year","Engine Capacity cc","Car Make","Emission Band","Licensing Authority","UNIT","VALUE"
"New Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  G","Kildare","Number","5"
"New Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  G","Wicklow","Number","2"
"New Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Band  G","Dublin","Number","59"
"New Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Not available","Kildare","Number","24"
"New Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Not available","Wicklow","Number","14"
"New Private Cars","2022","All engine capacities with respect to private cars (cc)","All makes","Not available","Dublin","Number","150"
"New Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","Number","3132"
"New Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","Number","1703"
"New Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin","Number","24998"
"New Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  B","Kildare","Number","1916"
"New Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  B","Wicklow","Number","953"
"New Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  B","Dublin","Number","14314"
"New Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  C","Kildare","Number","351"
"New Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  C","Wicklow","Number","144"
"New Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  C","Dublin","Number","2959"
"New Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  D","Kildare","Number","56"
"New Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  D","Wicklow","Number","30"
"New Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  D","Dublin","Number","433"
"New Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  E","Kildare","Number","6"
"New Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  E","Wicklow","Number","4"
"New Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  E","Dublin","Number","78"
"New Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  F","Kildare","Number","9"
"New Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  F","Wicklow","Number","2"
"New Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  F","Dublin","Number","101"
"New Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  G","Kildare","Number","3"
"New Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  G","Wicklow","Number","5"
"New Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Band  G","Dublin","Number","70"
"New Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Not available","Kildare","Number","24"
"New Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Not available","Wicklow","Number","25"
"New Private Cars","2023","All engine capacities with respect to private cars (cc)","All makes","Not available","Dublin","Number","261"
"New Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","Number","2971"
"New Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  A","Wicklow","Number","1610"
"New Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  A","Dublin","Number","24795"
"New Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  B","Kildare","Number","1998"
"New Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  B","Wicklow","Number","930"
"New Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  B","Dublin","Number","14503"
"New Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  C","Kildare","Number","524"
"New Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  C","Wicklow","Number","193"
"New Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  C","Dublin","Number","3268"
"New Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  D","Kildare","Number","64"
"New Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  D","Wicklow","Number","27"
"New Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  D","Dublin","Number","293"
"New Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  E","Kildare","Number","11"
"New Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  E","Wicklow","Number","5"
"New Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  E","Dublin","Number","103"
"New Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  F","Kildare","Number","10"
"New Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  F","Wicklow","Number","11"
"New Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  F","Dublin","Number","163"
"New Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  G","Kildare","Number","2"
"New Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  G","Wicklow","Number","4"
"New Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Band  G","Dublin","Number","39"
"New Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Not available","Kildare","Number","43"
"New Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Not available","Wicklow","Number","26"
"New Private Cars","2024","All engine capacities with respect to private cars (cc)","All makes","Not available","Dublin","Number","282"
"New Private Cars","2025","All engine capacities with respect to private cars (cc)","All makes","Band  A","Kildare","Number","3900"
