"STATISTIC Label","Year","Taxation Class","Type of Fuel","UNIT","VALUE"
"New and Secondhand Vehicles","2012","All Goods Vehicles","Hybrid","Number","6"
"New and Secondhand Vehicles","2012","All Tractors","All fuel types","Number","3777"
"New and Secondhand Vehicles","2012","All Tractors","Petrol","Number","17"
"New and Secondhand Vehicles","2012","All Tractors","Diesel","Number","3760"
"New and Secondhand Vehicles","2012","All Tractors","Other fuel types","Number","0"
"New and Secondhand Vehicles","2012","All Tractors","Electric","Number","0"
"New and Secondhand Vehicles","2012","All Tractors","Hybrid","Number","0"
"New and Secondhand Vehicles","2012","All Motor Cycles","All fuel types","Number","2477"
"New and Secondhand Vehicles","2012","All Motor Cycles","Petrol","Number","2455"
"New and Secondhand Vehicles","2012","All Motor Cycles","Diesel","Number","4"
"New and Secondhand Vehicles","2012","All Motor Cycles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2012","All Motor Cycles","Electric","Number","18"
"New and Secondhand Vehicles","2012","All Motor Cycles","Hybrid","Number","0"
"New and Secondhand Vehicles","2012","All Other Vehicles","All fuel types","Number","8468"
"New and Secondhand Vehicles","2012","All Other Vehicles","Petrol","Number","2060"
"New and Secondhand Vehicles","2012","All Other Vehicles","Diesel","Number","6337"
"New and Secondhand Vehicles","2012","All Other Vehicles","Other fuel types","Number","9"
"New and Secondhand Vehicles","2012","All Other Vehicles","Electric","Number","4"
"New and Secondhand Vehicles","2012","All Other Vehicles","Hybrid","Number","58"
"New and Secondhand Vehicles","2013","New Private Cars","All fuel types","Number","71348"
"New and Secondhand Vehicles","2013","New Private Cars","Petrol","Number","18964"
"New and Secondhand Vehicles","2013","New Private Cars","Diesel","Number","51772"
"New and Secondhand Vehicles","2013","New Private Cars","Other fuel types","Number","6"
"New and Secondhand Vehicles","2013","New Private Cars","Electric","Number","51"
"New and Secondhand Vehicles","2013","New Private Cars","Hybrid","Number","555"
"New and Secondhand Vehicles","2013","New Goods Vehicles","All fuel types","Number","11024"
